GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
message-service,com.ConnectHub.message_service.dto,SendMessageRequest,4,41,0,0,0,8,1,12,1,12
message-service,com.ConnectHub.message_service.dto,EditMessageRequest,0,10,0,0,0,3,0,3,0,3
message-service,com.ConnectHub.message_service.dto,MessageResponse.MessageResponseBuilder,34,91,0,0,0,1,1,14,1,14
message-service,com.ConnectHub.message_service.dto,MessageResponse,75,52,0,0,10,4,21,5,21,5
message-service,com.ConnectHub.message_service.resource,MessageResource,99,6,0,0,16,3,11,1,11,1
message-service,com.ConnectHub.message_service.resource,AuditLogResource,22,6,0,0,3,3,2,1,2,1
message-service,com.ConnectHub.message_service.config,SecurityConfig,0,48,0,0,0,7,0,3,0,3
message-service,com.ConnectHub.message_service.service,MessageServiceImpl,23,317,7,17,7,87,8,19,2,13
message-service,com.connecthub.message_service,MessageServiceApplication,5,3,0,0,2,1,1,1,1,1
message-service,com.ConnectHub.message_service.exception,GlobalExceptionHandler,100,3,0,0,20,1,7,1,7,1
message-service,com.ConnectHub.message_service.model,DeliveryStatus,0,21,0,0,0,4,0,1,0,1
message-service,com.ConnectHub.message_service.model,MessageType,0,33,0,0,0,6,0,1,0,1
message-service,com.ConnectHub.message_service.model,AuditLog,30,19,0,0,8,2,9,5,9,5
message-service,com.ConnectHub.message_service.model,Message,30,87,8,0,10,14,5,25,1,25
